nba_id,player_name,first_name,last_name,season,season_label,team,lebron_team_string,position,games_played,minutes_played,team_mpg,lebron_mpg,lebron,o_lebron,d_lebron,war,off_role,def_role,team_wins,team_losses,team_win_pct,is_multi_team,team_count,name_match_key,name_match_status,basketball_reference_name,data_source,source_url
1626204,Larry Nance Jr.,Larry,Nance Jr.,2026,2025-26,CLE,CLE,PF,35,449,12.829,12.821,-1.402,-1.678,0.276,0.298,Stretch Big,Mobile Big,52,30,0.634,false,1,larry nance jr,exact_name,Larry Nance Jr.,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/CLE/2026.html
1626220,Royce O'Neale,Royce,O'Neale,2026,2025-26,PHO,PHO,SF,78,2213,28.372,28.368,-2.125,-2.119,-0.006,0.475,Movement Shooter,Wing Stopper,45,37,0.549,false,1,royce o neale,exact_name,Royce O'Neale,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/PHO/2026.html
1627734,Domantas Sabonis,Domantas,Sabonis,2026,2025-26,SAC,SAC,C,19,564,29.684,29.662,1.147,0.639,0.507,1.274,Roll + Cut Big,Mobile Big,22,60,0.268,false,1,domantas sabonis,exact_name,Domantas Sabonis,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/SAC/2026.html
1627739,Kris Dunn,Kris,Dunn,2026,2025-26,LAC,LAC,PG,82,2230,27.195,27.174,0.452,-1.281,1.733,4.067,Primary Ball Handler,Point of Attack,42,40,0.512,false,1,kris dunn,exact_name,Kris Dunn,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
1627741,Buddy Hield,Buddy,Hield,2026,2025-26,GSW,GSW/ATL,SG,44,768,17.455,16.061,-1.33,-0.617,-0.713,0.58,Movement Shooter,Point of Attack,37,45,0.451,true,2,buddy hield,exact_name,Buddy Hield,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/GSW/2026.html
1627741,Buddy Hield,Buddy,Hield,2026,2025-26,ATL,GSW/ATL,SG,7,51,7.286,16.061,-1.33,-0.617,-0.713,0.58,Movement Shooter,Point of Attack,46,36,0.561,true,2,buddy hield,exact_name,Buddy Hield,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/ATL/2026.html
1627742,Brandon Ingram,Brandon,Ingram,2026,2025-26,TOR,TOR,SF,77,2604,33.818,33.815,-0.663,0.178,-0.841,2.931,Shot Creator,Helper,46,36,0.561,false,1,brandon ingram,exact_name,Brandon Ingram,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/TOR/2026.html
1627747,Caris Levert,Caris,Levert,2026,2025-26,DET,DET,SG,60,1154,19.233,19.239,-1.475,-1.39,-0.085,0.713,Secondary Ball Handler,Chaser,60,22,0.732,false,1,caris levert,exact_name,Caris Levert,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DET/2026.html
1627749,Dejounte Murray,Dejounte,Murray,2026,2025-26,NOP,NOP,PG,14,389,27.786,27.815,1.561,0.998,0.563,0.981,Shot Creator,Point of Attack,26,56,0.317,false,1,dejounte murray,exact_name,Dejounte Murray,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/NOP/2026.html
1627750,Jamal Murray,Jamal,Murray,2026,2025-26,DEN,DEN,PG,75,2652,35.36,35.356,1.389,3.171,-1.782,6.394,Shot Creator,Chaser,54,28,0.659,false,1,jamal murray,exact_name,Jamal Murray,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DEN/2026.html
